,coef,SE,t-stat,p-value
const,0.074176,0.091839,0.808,0.419
L1.CORCCACBS,-0.028836,0.056818,-0.508,0.612
L1.FEDFUNDS,0.643478,0.094915,6.78,0
L2.CORCCACBS,0.011841,0.078478,0.151,0.88
L2.FEDFUNDS,0.123981,0.114205,1.086,0.278
L3.CORCCACBS,0.007734,0.077697,0.1,0.921
L3.FEDFUNDS,0.007765,0.115134,0.067,0.946
L4.CORCCACBS,-0.008838,0.055016,-0.161,0.872
L4.FEDFUNDS,-0.199243,0.096338,-2.068,0.039
