h,h,SE,t-stat,95% CI
1,0.003553,0.044417,0.079994,"(-0.083504, 0.090611)"
2,0.014098,0.055271,0.255078,"(-0.094233, 0.122430)"
3,-0.008045,0.091758,-0.087677,"(-0.187890, 0.171800)"
4,-0.007379,0.078528,-0.093971,"(-0.161294, 0.146536)"
