observation_date,A229RX0
2020-07-01,51816
2020-08-01,49783
2020-09-01,50047
2020-10-01,49844
2020-11-01,49230
2020-12-01,49354
2021-01-01,54648
2021-02-01,50097
2021-03-01,61570
2021-04-01,52193
2021-05-01,50679
2021-06-01,50430
2021-07-01,50737
2021-08-01,50602
2021-09-01,50005
2021-10-01,50000
2021-11-01,49827
2021-12-01,49587
2022-01-01,48426
2022-02-01,48411
2022-03-01,48157
2022-04-01,48125
2022-05-01,48055
2022-06-01,47928
2022-07-01,48503
2022-08-01,48750
2022-09-01,48885
2022-10-01,49005
2022-11-01,49008
2022-12-01,49158
2023-01-01,50054
2023-02-01,50233
2023-03-01,50465
2023-04-01,50478
2023-05-01,50618
2023-06-01,50606
2023-07-01,50598
2023-08-01,50624
2023-09-01,50625
2023-10-01,50735
2023-11-01,50920
2023-12-01,50992
2024-01-01,51425
2024-02-01,51435
2024-03-01,51526
2024-04-01,51421
2024-05-01,51514
2024-06-01,51484
2024-07-01,51418
2024-08-01,51359
2024-09-01,51404
2024-10-01,51572
2024-11-01,51640
2024-12-01,51678
