h,h,SE,t-statistic,95% CI
1,-0.00048,0.003987,-0.12028,"(-0.008294, 0.007335)"
3,-0.016058,0.010518,-1.526707,"(-0.036674, 0.004557)"
6,-0.041063,0.018502,-2.219444,"(-0.077326, -0.004800)"
12,-0.031279,0.035044,-0.892547,"(-0.099966, 0.037408)"
