h,h,SE,t-statistic,95% CI
1,0.003702,0.001059,3.496231,"(0.001627, 0.005778)"
3,-0.001148,0.002124,-0.540631,"(-0.005312, 0.003015)"
6,-0.000164,0.001771,-0.092477,"(-0.003634, 0.003307)"
12,-0.007924,0.000786,-10.077883,"(-0.009465, -0.006383)"
